[2021-06-03T22:17:17.412-0800][gc,phases   ] GC(230)   Evacuate Collection Set: 5.0ms
[2021-06-03T22:17:17.412-0800][gc,phases   ] GC(230)   Post Evacuate Collection Set: 0.8ms
[2021-06-03T22:17:17.412-0800][gc,phases   ] GC(230)   Other: 1.0ms
[2021-06-03T22:17:17.412-0800][gc,heap     ] GC(230) Eden regions: 255->0(255)
[2021-06-03T22:17:17.412-0800][gc,heap     ] GC(230) Survivor regions: 1->1(32)
[2021-06-03T22:17:17.412-0800][gc,heap     ] GC(230) Old regions: 48->48
[2021-06-03T22:17:17.412-0800][gc,heap     ] GC(230) Archive regions: 2->2
[2021-06-03T22:17:17.412-0800][gc,heap     ] GC(230) Humongous regions: 164->164
[2021-06-03T22:17:17.412-0800][gc,metaspace] GC(230) Metaspace: 69396K(71344K)->69396K(71344K) NonClass: 61574K(62896K)->61574K(62896K) Class: 7822K(8448K)->7822K(8448K)
[2021-06-03T22:17:17.412-0800][gc          ] GC(230) Pause Young (Normal) (G1 Evacuation Pause) 468M->213M(512M) 7.433ms
[2021-06-03T22:17:17.412-0800][gc,cpu      ] GC(230) User=0.02s Sys=0.01s Real=0.01s
[2021-06-03T22:19:32.478-0800][gc,start    ] GC(231) Pause Young (Normal) (G1 Evacuation Pause)
[2021-06-03T22:19:32.479-0800][gc,task     ] GC(231) Using 10 workers of 10 for evacuation
[2021-06-03T22:19:32.483-0800][gc,phases   ] GC(231)   Pre Evacuate Collection Set: 0.1ms
[2021-06-03T22:19:32.483-0800][gc,phases   ] GC(231)   Merge Heap Roots: 0.1ms
[2021-06-03T22:19:32.483-0800][gc,phases   ] GC(231)   Evacuate Collection Set: 3.2ms
[2021-06-03T22:19:32.483-0800][gc,phases   ] GC(231)   Post Evacuate Collection Set: 0.5ms
[2021-06-03T22:19:32.483-0800][gc,phases   ] GC(231)   Other: 0.6ms
[2021-06-03T22:19:32.483-0800][gc,heap     ] GC(231) Eden regions: 255->0(255)
[2021-06-03T22:19:32.483-0800][gc,heap     ] GC(231) Survivor regions: 1->1(32)
[2021-06-03T22:19:32.483-0800][gc,heap     ] GC(231) Old regions: 48->48
[2021-06-03T22:19:32.483-0800][gc,heap     ] GC(231) Archive regions: 2->2
